Material Description,Material No,date,Plant,sales,UOM,Total Actual Cost
AMRITHA JASMINE (1X144),6010000653,10.10.2017,1007,"21,744.00",EA,"485,283.96"
AMRITHA JASMINE (1X144),6010000653,12.10.2017,1007,"25,920.00",EA,"655,557.24"
AMRITHA JASMINE (1X144),6010000653,12.10.2017,1007,"20,592.00",EA,"438,639.82"
AMRITHA JASMINE (1X144),6010000653,18.10.2017,1007,"1,728.00",EA,"40,184.64"
AMRITHA JASMINE (1X144),6010000653,23.10.2017,1007,"25,920.00",EA,"618,875.70"
AMRITHA JASMINE (1X144),6010000653,23.10.2017,1007,"33,984.00",EA,"827,868.39"
AMRITHA JASMINE (1X144),6010000653,24.10.2017,1007,"23,760.00",EA,"596,081.96"
AMRITHA JASMINE (1X144),6010000653,25.10.2017,1007,"25,920.00",EA,"569,951.95"
AMRITHA JASMINE (1X144),6010000653,26.10.2017,1007,"3,888.00",EA,"76,104.00"
AMRITHA JASMINE (1X144),6010000653,04.11.2017,1007,"4,464.00",EA,"93,106.76"
AMRITHA JASMINE (1X144),6010000653,04.11.2017,1007,"24,192.00",EA,"520,737.48"
AMRITHA JASMINE (1X144),6010000653,07.11.2017,1007,"40,752.00",EA,"1,041,231.16"
AMRITHA JASMINE (1X144),6010000653,07.11.2017,1007,"20,016.00",EA,"504,970.70"
AMRITHA JASMINE (1X144),6010000653,16.11.2017,1007,"32,256.00",EA,"747,597.04"
AMRITHA JASMINE (1X144),6010000653,17.11.2017,1007,"30,240.00",EA,"696,905.64"
AMRITHA JASMINE (1X144),6010000653,18.11.2017,1007,"33,552.00",EA,"795,624.29"
AMRITHA JASMINE (1X144),6010000653,20.11.2017,1007,"32,976.00",EA,"747,188.76"
AMRITHA JASMINE (1X144),6010000653,28.11.2017,1007,"36,144.00",EA,"798,200.91"
AMRITHA JASMINE (1X144),6010000653,29.11.2017,1007,"31,104.00",EA,"701,643.78"
AMRITHA JASMINE (1X144),6010000653,30.11.2017,1007,"41,040.00",EA,"948,748.78"
AMRITHA JASMINE (1X144),6010000653,30.11.2017,1007,"31,392.00",EA,"754,007.61"
AMRITHA JASMINE (1X144),6010000653,04.12.2017,1007,"44,928.00",EA,"1,069,904.17"
AMRITHA JASMINE (1X144),6010000653,14.12.2017,1007,"42,480.00",EA,"917,684.26"
